ds,Job_Type,Education_Level,Job_Categories,Public_Holiday_Flag,Local_Gas_Price,Monthly_Unemployment_Rate,Hours_Worked,Platform_Count,Jobs_Completed,Job_Duration_Days,Income_Total,Expenses_Total,Target_Income_Next_Day,income_volatility_index,Month,Monthly_Income,Monthly_Expenses,Target_Income_Next_Month,income_rolling_avg_3m,expense_to_income_ratio,net_Income,savings,y
2024-03-05,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.35,7.7,3.4,4,5,1,512.69,406.96,3100.0,327.02,2024-03,12423.73,19065.8,28600.0,,0.79,110.0,-6642.07,0.21686827871215097
2024-03-06,Hybrid/Gig-Task,Undergraduate,,0,76.28,7.4,0.0,0,0,0,0.0,465.77,-13500.0,332.09,2024-03,12423.73,19065.8,28600.0,,inf,-470.0,-6642.07,-1.3839150223575252
2024-03-07,Hybrid/Gig-Task,Undergraduate,Data Entry,0,77.08,8.0,5.2,3,2,1,784.24,488.14,8200.0,385.97,2024-03,12423.73,19065.8,28600.0,,0.62,300.0,-6642.07,1.0647348362917224
2024-03-08,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.54,7.8,4.9,4,4,1,739.06,449.74,8200.0,391.23,2024-03,12423.73,19065.8,28600.0,,0.61,290.0,-6642.07,0.9236683252571243
2024-03-09,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.49,7.9,3.1,3,4,1,804.48,443.75,9700.0,369.75,2024-03,12423.73,19065.8,28600.0,,0.55,360.0,-6642.07,1.1279306349490987
2024-03-10,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.58,7.9,4.5,4,3,1,407.3,172.26,6500.0,348.88,2024-03,12423.73,19065.8,28600.0,,0.42,240.0,-6642.07,-0.11219324403986922
2024-03-11,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.22,7.8,2.2,1,2,1,331.9,602.03,-7300.0,293.47,2024-03,12423.73,19065.8,28600.0,,1.81,-270.0,-6642.07,-0.3476163279710043
2024-03-12,Hybrid/Gig-Task,Undergraduate,,0,75.02,7.8,0.0,0,0,0,0.0,552.47,-14900.0,351.36,2024-03,12423.73,19065.8,28600.0,,inf,-550.0,-6642.07,-1.3839150223575252
2024-03-13,Hybrid/Gig-Task,Undergraduate,,0,75.58,7.9,0.0,0,0,0,0.0,449.16,-13000.0,351.36,2024-03,12423.73,19065.8,28600.0,,inf,-450.0,-6642.07,-1.3839150223575252
2024-03-14,Hybrid/Gig-Task,Undergraduate,,0,73.46,7.9,0.0,0,0,0,0.0,608.46,-17700.0,347.62,2024-03,12423.73,19065.8,28600.0,,inf,-610.0,-6642.07,-1.3839150223575252
2024-03-15,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.94,7.8,2.3,2,1,1,804.88,459.47,9700.0,361.27,2024-03,12423.73,19065.8,28600.0,,0.57,350.0,-6642.07,1.1291795637763196
2024-03-16,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.56,8.0,2.8,3,4,1,422.6,574.2,-4400.0,302.74,2024-03,12423.73,19065.8,28600.0,,1.36,-150.0,-6642.07,-0.06442171639867071
2024-03-17,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.15,7.6,3.5,4,2,1,528.29,3477.31,-83000.0,314.39,2024-03,12423.73,19065.8,28600.0,,6.58,-2950.0,-6642.07,0.2655765029737648
2024-03-18,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.79,7.6,3.9,3,3,1,588.71,438.43,4300.0,333.38,2024-03,12423.73,19065.8,28600.0,,0.74,150.0,-6642.07,0.4542272023254782
2024-03-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.82,7.7,3.0,3,2,1,271.74,122.82,4300.0,302.25,2024-03,12423.73,19065.8,28600.0,,0.45,150.0,-6642.07,-0.5354552235850237
2024-03-20,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.85,8.0,2.9,4,3,1,262.7,104.57,4500.0,261.7,2024-03,12423.73,19065.8,28600.0,,0.4,160.0,-6642.07,-0.5636810150802156
2024-03-21,Hybrid/Gig-Task,Undergraduate,,0,74.6,7.9,0.0,0,0,0,0.0,3512.47,-98300.0,261.7,2024-03,12423.73,19065.8,28600.0,,inf,-3510.0,-6642.07,-1.3839150223575252
2024-03-22,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.51,7.7,3.5,1,2,1,528.51,438.76,2600.0,207.7,2024-03,12423.73,19065.8,28600.0,,0.83,90.0,-6642.07,0.26626341382873636
2024-03-23,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.39,8.0,2.2,2,5,1,199.34,130.03,1900.0,215.59,2024-03,12423.73,19065.8,28600.0,,0.65,70.0,-6642.07,-0.7615113413120022
2024-03-24,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.46,8.0,5.2,4,2,1,805.48,410.48,11400.0,273.61,2024-03,12423.73,19065.8,28600.0,,0.51,400.0,-6642.07,1.1310529570171508
2024-03-25,Hybrid/Gig-Task,Undergraduate,Event Staff,1,74.36,7.9,5.6,4,4,1,805.54,520.31,8000.0,310.96,2024-03,12423.73,19065.8,28600.0,,0.65,290.0,-6642.07,1.1312402963412338
2024-03-26,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.45,7.8,4.2,3,4,1,634.42,462.48,5100.0,314.19,2024-03,12423.73,19065.8,28600.0,,0.73,170.0,-6642.07,0.5969485440561435
2024-03-27,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.39,7.8,2.3,2,4,1,347.45,466.63,-3300.0,306.77,2024-03,12423.73,19065.8,28600.0,,1.34,-120.0,-6642.07,-0.2990642198127927
2024-03-28,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.38,7.7,5.1,4,2,1,462.29,194.21,7400.0,227.01,2024-03,12423.73,19065.8,28600.0,,0.42,270.0,-6642.07,0.0595032464823206
2024-03-29,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.6,7.6,3.3,1,5,1,498.59,573.6,-2200.0,227.55,2024-03,12423.73,19065.8,28600.0,,1.15,-80.0,-6642.07,0.17284353755261486
2024-03-30,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.43,7.4,4.5,3,4,1,679.96,537.09,4000.0,175.55,2024-03,12423.73,19065.8,28600.0,430.0,0.79,140.0,-6642.07,0.7391390910352403
2024-03-31,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.61,7.8,2.2,2,2,1,199.47,132.26,1900.0,206.76,2024-03,12423.73,19065.8,28600.0,430.0,0.66,70.0,-6642.07,-0.7611054394431553
2024-04-01,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.11,8.4,2.1,4,4,1,190.42,113.97,2100.0,194.67,2024-04,12297.29,15664.55,21400.0,430.0,0.6,80.0,-3367.2599999999984,-0.7893624541590277
2024-04-02,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.0,8.0,2.9,1,1,1,806.07,596.43,5900.0,231.9,2024-04,12297.29,15664.55,21400.0,430.0,0.74,210.0,-3367.2599999999984,1.1328951270373018
2024-04-03,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.17,8.1,3.9,1,3,1,353.69,149.65,5700.0,231.43,2024-04,12297.29,15664.55,21400.0,420.0,0.42,200.0,-3367.2599999999984,-0.27958093010814705
2024-04-04,Hybrid/Gig-Task,Undergraduate,Event Staff,0,73.09,8.5,5.2,1,5,1,806.2,2301.11,-44100.0,266.84,2024-04,12297.29,15664.55,21400.0,420.0,2.85,-1490.0,-3367.2599999999984,1.1333010289061485
2024-04-05,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.48,8.2,2.4,2,5,1,217.69,114.06,3000.0,288.21,2024-04,12297.29,15664.55,21400.0,420.0,0.52,100.0,-3367.2599999999984,-0.7042167313632446
2024-04-06,Hybrid/Gig-Task,Undergraduate,Data Entry,0,72.59,8.4,4.2,4,1,1,634.99,563.27,2100.0,283.07,2024-04,12297.29,15664.55,21400.0,420.0,0.89,70.0,-3367.2599999999984,0.5987282676349334
2024-04-07,Hybrid/Gig-Task,Undergraduate,,0,72.99,8.3,0.0,0,0,0,0.0,587.83,-15900.0,320.98,2024-04,12297.29,15664.55,21400.0,420.0,inf,-590.0,-3367.2599999999984,-1.3839150223575252
2024-04-08,Hybrid/Gig-Task,Undergraduate,,0,73.76,8.6,0.0,0,0,0,0.0,510.5,-14400.0,351.29,2024-04,12297.29,15664.55,21400.0,420.0,inf,-510.0,-3367.2599999999984,-1.3839150223575252
2024-04-09,Hybrid/Gig-Task,Undergraduate,,0,72.99,7.7,0.0,0,0,0,0.0,598.25,-16900.0,328.39,2024-04,12297.29,15664.55,21400.0,420.0,inf,-600.0,-3367.2599999999984,-1.3839150223575252
2024-04-10,Hybrid/Gig-Task,Undergraduate,Event Staff,1,73.75,8.7,5.4,4,4,1,806.6,575.94,6300.0,383.58,2024-04,12297.29,15664.55,21400.0,430.0,0.71,230.0,-3367.2599999999984,1.1345499577333693
2024-04-11,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.29,8.3,3.5,3,3,1,529.38,603.58,-2100.0,340.86,2024-04,12297.29,15664.55,21400.0,430.0,1.14,-70.0,-3367.2599999999984,0.2689798340279418
2024-04-12,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.44,8.5,5.9,1,5,1,535.47,157.04,10000.0,347.21,2024-04,12297.29,15664.55,21400.0,430.0,0.29,380.0,-3367.2599999999984,0.2879947754223797
2024-04-13,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.22,8.4,2.9,3,1,1,438.7,565.05,-3700.0,328.54,2024-04,12297.29,15664.55,21400.0,430.0,1.29,-130.0,-3367.2599999999984,-0.014152331103030599
2024-04-14,Hybrid/Gig-Task,Undergraduate,Data Entry,1,73.97,8.5,2.4,4,3,1,363.09,439.68,-2200.0,294.67,2024-04,12297.29,15664.55,21400.0,430.0,1.21,-80.0,-3367.2599999999984,-0.25023110266845655
2024-04-15,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.11,8.4,2.9,3,1,1,438.77,524.45,-2300.0,241.82,2024-04,12297.29,15664.55,21400.0,420.0,1.2,-90.0,-3367.2599999999984,-0.013933768558266967
2024-04-16,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.49,8.3,4.9,4,2,1,444.86,165.33,8000.0,144.31,2024-04,12297.29,15664.55,21400.0,430.0,0.37,280.0,-3367.2599999999984,0.0050811728361709555
2024-04-17,Hybrid/Gig-Task,Undergraduate,Delivery,0,72.88,8.2,4.4,3,1,1,399.5,170.46,6100.0,63.23,2024-04,12297.29,15664.55,21400.0,430.0,0.43,230.0,-3367.2599999999984,-0.13654735617067632
2024-04-18,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.58,8.2,5.7,3,3,1,517.57,208.27,9100.0,60.87,2024-04,12297.29,15664.55,21400.0,440.0,0.4,310.0,-3367.2599999999984,0.23210521040424562
2024-04-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.87,8.1,5.5,2,5,1,499.45,208.31,8300.0,53.33,2024-04,12297.29,15664.55,21400.0,440.0,0.42,290.0,-3367.2599999999984,0.1755287345311398
2024-04-20,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.37,8.3,3.2,1,3,1,290.62,137.88,4300.0,78.71,2024-04,12297.29,15664.55,21400.0,430.0,0.47,150.0,-3367.2599999999984,-0.47650578294019846
2024-04-21,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.82,8.2,2.6,4,4,1,393.57,562.85,-4500.0,75.7,2024-04,12297.29,15664.55,21400.0,430.0,1.43,-170.0,-3367.2599999999984,-0.1550627260342258
2024-04-22,Hybrid/Gig-Task,Undergraduate,,0,73.92,8.5,0.0,0,0,0,0.0,467.94,-12600.0,177.24,2024-04,12297.29,15664.55,21400.0,420.0,inf,-470.0,-3367.2599999999984,-1.3839150223575252
2024-04-23,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.42,8.2,3.9,1,5,1,354.28,141.02,6000.0,173.59,2024-04,12297.29,15664.55,21400.0,420.0,0.4,210.0,-3367.2599999999984,-0.2777387600879963
2024-04-24,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.72,8.0,5.0,4,5,1,757.06,449.72,8700.0,232.84,2024-04,12297.29,15664.55,21400.0,420.0,0.59,310.0,-3367.2599999999984,0.9798701224820637
